107,8,10,15,1,0,0,6,11,28,14,14,4,6,0,0,0,0,3,7,21,35,26,33,4,0,1,2,0,5,1,0,0,0,1,2,2,4
108,4,6,9,5,0,0,3,8,22,26,20,7,4,1,0,0,2,15,17,30,38,22,31,1,2,3,4,1,7,1,0,1,0,18,4,2,20
109,13,26,20,8,2,6,3,25,38,18,12,2,9,0,1,1,5,18,20,49,58,20,34,4,1,4,4,2,13,0,0,0,0,22,13,5,14
110,18,39,27,11,1,5,16,7,57,26,8,14,17,0,1,3,6,28,29,54,59,23,22,1,1,2,13,0,21,2,3,0,0,14,7,9,16
111,19,26,34,10,4,6,9,12,55,31,16,3,4,2,1,2,9,22,34,46,76,33,38,5,0,2,8,0,11,5,4,3,1,16,6,7,17
112,19,20,33,9,5,5,7,30,61,25,10,15,14,2,1,0,1,20,23,52,91,51,38,4,2,6,7,0,10,2,2,0,0,11,6,5,26
113,24,30,32,2,4,9,2,18,44,45,24,20,4,0,1,0,6,24,28,63,118,71,54,4,0,2,4,1,13,1,3,1,0,20,11,18,30
114,22,35,41,22,8,3,3,38,65,60,27,29,18,2,1,0,3,20,36,60,99,55,63,12,2,2,4,0,7,5,0,0,0,12,4,1,15
115,25,38,43,13,3,5,13,33,77,90,28,13,12,2,0,0,4,50,71,70,145,105,108,14,1,2,3,0,2,2,3,1,1,17,16,2,30
116,21,79,24,8,2,4,8,67,133,57,9,8,6,0,2,0,3,33,48,74,126,142,95,13,3,8,2,0,1,0,5,3,0,15,17,11,20
117,27,56,43,12,6,7,12,70,135,94,14,7,14,2,4,0,7,66,65,79,151,154,67,10,0,2,8,0,1,1,3,2,0,26,20,8,32
118,48,116,36,14,3,13,23,73,124,55,15,11,7,0,3,3,11,78,64,77,128,116,95,5,2,1,7,0,0,0,2,0,0,25,25,11,43
